Repository,ID,URL,PR_State,Total_Comments,Mentioner,Mentioner_Type,Source,Other_Bots
elizabethsiegle/rec-us-mcp-server,CWE-94,https://github.com/elizabethsiegle/rec-us-mcp-server/pull/1,Open,0,lwsinclair,Human,PR Body,
kdb7r/pensar-goat-python,CWE-94,https://github.com/kdb7r/pensar-goat-python/pull/1,Open,0,app/pensarapp,Bot,PR Body,pensarapp[bot]
KeremP/pensar-goat-python,CWE-94,https://github.com/KeremP/pensar-goat-python/pull/1,Open,0,app/pensarapp,Bot,PR Body,pensarapp[bot]
KeremP/validation-benchmarks,CWE-94,https://github.com/KeremP/validation-benchmarks/pull/1,Open,0,app/pensarapp,Bot,PR Body,pensarapp[bot]
MCP-Mirror/5ajaki_veri5ight,CWE-94,https://github.com/MCP-Mirror/5ajaki_veri5ight/pull/1,Open,0,lwsinclair,Human,PR Body,
MCP-Mirror/garc33_js-sandbox-mcp-server,CWE-94,https://github.com/MCP-Mirror/garc33_js-sandbox-mcp-server/pull/1,Open,0,lwsinclair,Human,PR Body,
MCP-Mirror/MalikElate_yt-description-mcp,CWE-94,https://github.com/MCP-Mirror/MalikElate_yt-description-mcp/pull/1,Open,0,lwsinclair,Human,PR Body,
joshkotrous/pensar-goat-python,CWE-94,https://github.com/joshkotrous/pensar-goat-python/pull/10,Closed,0,app/pensarapp,Bot,PR Body,pensarapp[bot]
Yuvanesh-ux/Test,CWE-94,https://github.com/Yuvanesh-ux/Test/pull/10,Open,0,app/pensarappdev,Bot,PR Body,pensarappdev[bot]
Yuvanesh-ux/Test,CWE-94,https://github.com/Yuvanesh-ux/Test/pull/10,Open,0,app/pensarappdev,Bot,PR Title,pensarappdev[bot]
joshkotrous/pensar-goat-python,CWE-94,https://github.com/joshkotrous/pensar-goat-python/pull/1018,Open,0,app/pensarappstaging,Bot,PR Body,pensarappstaging[bot]
joshkotrous/pensar-goat-python,CWE-94,https://github.com/joshkotrous/pensar-goat-python/pull/1018,Open,0,app/pensarappstaging,Bot,PR Title,pensarappstaging[bot]
