Repository,ID,URL,PR_State,Total_Comments,Mentioner,Mentioner_Type,Source,Other_Bots
freelensapp/freelens-node-pod-menu,GHSA-V6H2-P8H4-QCJW,https://github.com/freelensapp/freelens-node-pod-menu/pull/91,Open,0,freelensbot,Bot,PR Body,
b0z1/i18next-gettext-loader,GHSA-V6H2-P8H4-QCJW,https://github.com/b0z1/i18next-gettext-loader/pull/1,Open,8,jayaddison,Human,PR Body,
b0z1/i18next-gettext-loader,GHSA-V6H2-P8H4-QCJW,https://github.com/b0z1/i18next-gettext-loader/pull/1,Open,8,jayaddison,Human,Commit Message,
nztzsh/honest.ly-backend,GHSA-V6H2-P8H4-QCJW,https://github.com/nztzsh/honest.ly-backend/pull/18,Open,1,endor-labs-pro-staging,Human,PR Comment,
Campus-INSA-CVL/campus-website,GHSA-V6H2-P8H4-QCJW,https://github.com/Campus-INSA-CVL/campus-website/pull/127,Open,49,github-actions,Bot,PR Comment,
Campus-INSA-CVL/campus-website,GHSA-V6H2-P8H4-QCJW,https://github.com/Campus-INSA-CVL/campus-website/pull/127,Open,49,github-actions,Bot,PR Comment,
Campus-INSA-CVL/campus-website,GHSA-V6H2-P8H4-QCJW,https://github.com/Campus-INSA-CVL/campus-website/pull/127,Open,49,github-actions,Bot,PR Comment,
Campus-INSA-CVL/campus-website,GHSA-V6H2-P8H4-QCJW,https://github.com/Campus-INSA-CVL/campus-website/pull/127,Open,49,github-actions,Bot,PR Comment,
Campus-INSA-CVL/campus-website,GHSA-V6H2-P8H4-QCJW,https://github.com/Campus-INSA-CVL/campus-website/pull/127,Open,49,github-actions,Bot,PR Comment,
Campus-INSA-CVL/campus-website,GHSA-V6H2-P8H4-QCJW,https://github.com/Campus-INSA-CVL/campus-website/pull/127,Open,49,github-actions,Bot,PR Comment,
Campus-INSA-CVL/campus-website,GHSA-V6H2-P8H4-QCJW,https://github.com/Campus-INSA-CVL/campus-website/pull/127,Open,49,github-actions,Bot,PR Comment,
Campus-INSA-CVL/campus-website,GHSA-V6H2-P8H4-QCJW,https://github.com/Campus-INSA-CVL/campus-website/pull/127,Open,49,github-actions,Bot,PR Comment,
Campus-INSA-CVL/campus-website,GHSA-V6H2-P8H4-QCJW,https://github.com/Campus-INSA-CVL/campus-website/pull/127,Open,49,github-actions,Bot,PR Comment,
Campus-INSA-CVL/campus-website,GHSA-V6H2-P8H4-QCJW,https://github.com/Campus-INSA-CVL/campus-website/pull/127,Open,49,github-actions,Bot,PR Comment,
Campus-INSA-CVL/campus-website,GHSA-V6H2-P8H4-QCJW,https://github.com/Campus-INSA-CVL/campus-website/pull/127,Open,49,github-actions,Bot,PR Comment,
Campus-INSA-CVL/campus-website,GHSA-V6H2-P8H4-QCJW,https://github.com/Campus-INSA-CVL/campus-website/pull/127,Open,49,github-actions,Bot,PR Comment,
Campus-INSA-CVL/campus-website,GHSA-V6H2-P8H4-QCJW,https://github.com/Campus-INSA-CVL/campus-website/pull/127,Open,49,github-actions,Bot,PR Comment,
Campus-INSA-CVL/campus-website,GHSA-V6H2-P8H4-QCJW,https://github.com/Campus-INSA-CVL/campus-website/pull/127,Open,49,github-actions,Bot,PR Comment,
Campus-INSA-CVL/campus-website,GHSA-V6H2-P8H4-QCJW,https://github.com/Campus-INSA-CVL/campus-website/pull/127,Open,49,github-actions,Bot,PR Comment,
Campus-INSA-CVL/campus-website,GHSA-V6H2-P8H4-QCJW,https://github.com/Campus-INSA-CVL/campus-website/pull/127,Open,49,github-actions,Bot,PR Comment,
Campus-INSA-CVL/campus-website,GHSA-V6H2-P8H4-QCJW,https://github.com/Campus-INSA-CVL/campus-website/pull/127,Open,49,github-actions,Bot,PR Comment,
Campus-INSA-CVL/campus-website,GHSA-V6H2-P8H4-QCJW,https://github.com/Campus-INSA-CVL/campus-website/pull/127,Open,49,github-actions,Bot,PR Comment,
Campus-INSA-CVL/campus-website,GHSA-V6H2-P8H4-QCJW,https://github.com/Campus-INSA-CVL/campus-website/pull/127,Open,49,github-actions,Bot,PR Comment,
Campus-INSA-CVL/campus-website,GHSA-V6H2-P8H4-QCJW,https://github.com/Campus-INSA-CVL/campus-website/pull/127,Open,49,github-actions,Bot,PR Comment,
Campus-INSA-CVL/campus-website,GHSA-V6H2-P8H4-QCJW,https://github.com/Campus-INSA-CVL/campus-website/pull/127,Open,49,github-actions,Bot,PR Comment,
Campus-INSA-CVL/campus-website,GHSA-V6H2-P8H4-QCJW,https://github.com/Campus-INSA-CVL/campus-website/pull/127,Open,49,github-actions,Bot,PR Comment,
Campus-INSA-CVL/campus-website,GHSA-V6H2-P8H4-QCJW,https://github.com/Campus-INSA-CVL/campus-website/pull/127,Open,49,github-actions,Bot,PR Comment,
Campus-INSA-CVL/campus-website,GHSA-V6H2-P8H4-QCJW,https://github.com/Campus-INSA-CVL/campus-website/pull/127,Open,49,github-actions,Bot,PR Comment,
Campus-INSA-CVL/campus-website,GHSA-V6H2-P8H4-QCJW,https://github.com/Campus-INSA-CVL/campus-website/pull/127,Open,49,github-actions,Bot,PR Comment,
Campus-INSA-CVL/campus-website,GHSA-V6H2-P8H4-QCJW,https://github.com/Campus-INSA-CVL/campus-website/pull/127,Open,49,github-actions,Bot,PR Comment,
chainguard-dev/digestabot-examples,GHSA-V6H2-P8H4-QCJW,https://github.com/chainguard-dev/digestabot-examples/pull/2,Open,1,github-actions,Bot,PR Body,
usu/ecamp3,GHSA-V6H2-P8H4-QCJW,https://github.com/usu/ecamp3/pull/470,Closed,1,renovate,Bot,PR Body,
nextcloud/password_policy,GHSA-V6H2-P8H4-QCJW,https://github.com/nextcloud/password_policy/pull/771,Merged,1,nextcloud-command,Human,PR Body,
nextcloud/password_policy,GHSA-V6H2-P8H4-QCJW,https://github.com/nextcloud/password_policy/pull/763,Closed,0,nextcloud-command,Human,PR Body,
ybiquitous/bem-ts,GHSA-V6H2-P8H4-QCJW,https://github.com/ybiquitous/bem-ts/pull/1048,Merged,0,ybiquitous,Human,PR Body,
ybiquitous/bem-ts,GHSA-V6H2-P8H4-QCJW,https://github.com/ybiquitous/bem-ts/pull/1048,Merged,0,ybiquitous,Human,Commit Message,
nextcloud/password_policy,GHSA-V6H2-P8H4-QCJW,https://github.com/nextcloud/password_policy/pull/765,Merged,1,nextcloud-command,Human,PR Body,
oxsecurity/megalinter,GHSA-V6H2-P8H4-QCJW,https://github.com/oxsecurity/megalinter/pull/5126,Closed,6,github-actions,Bot,PR Comment,renovate
echoix/megalinter,GHSA-V6H2-P8H4-QCJW,https://github.com/echoix/megalinter/pull/201,Closed,1,github-actions,Bot,PR Comment,renovate
nextcloud/password_policy,GHSA-V6H2-P8H4-QCJW,https://github.com/nextcloud/password_policy/pull/764,Merged,1,nextcloud-command,Human,PR Body,
juliangruber/brace-expansion,GHSA-V6H2-P8H4-QCJW,https://github.com/juliangruber/brace-expansion/pull/65,Merged,19,Soneliem,Human,PR Comment,
echoix/megalinter,GHSA-V6H2-P8H4-QCJW,https://github.com/echoix/megalinter/pull/225,Closed,1,github-actions,Bot,PR Comment,renovate
nextcloud/recommendations,GHSA-V6H2-P8H4-QCJW,https://github.com/nextcloud/recommendations/pull/846,Closed,0,nextcloud-command,Human,PR Body,
oxsecurity/megalinter,GHSA-V6H2-P8H4-QCJW,https://github.com/oxsecurity/megalinter/pull/4546,Closed,6,github-actions,Bot,PR Comment,renovate
sreyas-endor/js_test_yarn,GHSA-V6H2-P8H4-QCJW,https://github.com/sreyas-endor/js_test_yarn/pull/8,Open,0,endor-labs-pro-staging,Human,PR Body,
echoix/megalinter,GHSA-V6H2-P8H4-QCJW,https://github.com/echoix/megalinter/pull/256,Open,7,github-actions,Bot,PR Comment,
nextcloud/bruteforcesettings,GHSA-V6H2-P8H4-QCJW,https://github.com/nextcloud/bruteforcesettings/pull/754,Closed,1,nextcloud-command,Human,PR Body,
timbru31/sad-creeper,GHSA-V6H2-P8H4-QCJW,https://github.com/timbru31/sad-creeper/pull/1235,Closed,1,github-actions,Bot,PR Body,
timbru31/sad-creeper,GHSA-V6H2-P8H4-QCJW,https://github.com/timbru31/sad-creeper/pull/1235,Closed,1,timbru31,Human,Commit Message,github-actions
nextcloud/richdocuments,GHSA-V6H2-P8H4-QCJW,https://github.com/nextcloud/richdocuments/pull/4783,Merged,1,nextcloud-command,Human,PR Body,
nextcloud/richdocuments,GHSA-V6H2-P8H4-QCJW,https://github.com/nextcloud/richdocuments/pull/4784,Merged,1,nextcloud-command,Human,PR Body,
laingsimon/courage_scores,GHSA-V6H2-P8H4-QCJW,https://github.com/laingsimon/courage_scores/pull/1580,Merged,5,github-actions,Bot,PR Comment,
nextcloud/ldap_write_support,GHSA-V6H2-P8H4-QCJW,https://github.com/nextcloud/ldap_write_support/pull/992,Merged,1,nextcloud-command,Human,PR Body,
laingsimon/courage_scores,GHSA-V6H2-P8H4-QCJW,https://github.com/laingsimon/courage_scores/pull/1585,Merged,6,github-actions,Bot,PR Comment,
nextcloud/ldap_write_support,GHSA-V6H2-P8H4-QCJW,https://github.com/nextcloud/ldap_write_support/pull/990,Merged,1,nextcloud-command,Human,PR Body,
nextcloud/ldap_write_support,GHSA-V6H2-P8H4-QCJW,https://github.com/nextcloud/ldap_write_support/pull/991,Merged,1,nextcloud-command,Human,PR Body,
nextcloud/ocs_api_viewer,GHSA-V6H2-P8H4-QCJW,https://github.com/nextcloud/ocs_api_viewer/pull/111,Merged,0,nextcloud-command,Human,PR Body,
nextcloud/bruteforcesettings,GHSA-V6H2-P8H4-QCJW,https://github.com/nextcloud/bruteforcesettings/pull/763,Merged,0,nextcloud-command,Human,PR Body,
nextcloud/bruteforcesettings,GHSA-V6H2-P8H4-QCJW,https://github.com/nextcloud/bruteforcesettings/pull/762,Merged,0,nextcloud-command,Human,PR Body,
nextcloud/viewer,GHSA-V6H2-P8H4-QCJW,https://github.com/nextcloud/viewer/pull/2871,Closed,0,nextcloud-command,Human,PR Body,
nextcloud/viewer,GHSA-V6H2-P8H4-QCJW,https://github.com/nextcloud/viewer/pull/2872,Merged,3,nextcloud-command,Human,PR Body,
kkovaletp/photoview,GHSA-V6H2-P8H4-QCJW,https://github.com/kkovaletp/photoview/pull/496,Merged,9,kkovaletp,Human,PR Comment,dependabot
kkovaletp/photoview,GHSA-V6H2-P8H4-QCJW,https://github.com/kkovaletp/photoview/pull/493,Merged,10,kkovaletp,Human,PR Comment,dependabot
kkovaletp/photoview,GHSA-V6H2-P8H4-QCJW,https://github.com/kkovaletp/photoview/pull/488,Merged,10,kkovaletp,Human,PR Comment,dependabot
kkovaletp/photoview,GHSA-V6H2-P8H4-QCJW,https://github.com/kkovaletp/photoview/pull/494,Merged,12,kkovaletp,Human,PR Comment,dependabot
kkovaletp/photoview,GHSA-V6H2-P8H4-QCJW,https://github.com/kkovaletp/photoview/pull/499,Merged,10,kkovaletp,Human,PR Comment,dependabot
kkovaletp/photoview,GHSA-V6H2-P8H4-QCJW,https://github.com/kkovaletp/photoview/pull/495,Merged,10,kkovaletp,Human,PR Comment,dependabot
pancakeswap/pancake-frontend,GHSA-V6H2-P8H4-QCJW,https://github.com/pancakeswap/pancake-frontend/pull/11741,Merged,3,socket-security,Human,PR Comment,github-actions
kkovaletp/photoview,GHSA-V6H2-P8H4-QCJW,https://github.com/kkovaletp/photoview/pull/487,Merged,57,kkovaletp,Human,PR Comment,
arjunkmrm/mcp-sg-lta,GHSA-V6H2-P8H4-QCJW,https://github.com/arjunkmrm/mcp-sg-lta/pull/3,Open,36,lwsinclair,Human,PR Body,
