Repository,ID,URL,PR_State,Total_Comments,Mentioner,Mentioner_Type,Source,Other_Bots
dstewen/talos-test,GO-2025-3751,https://github.com/dstewen/talos-test/pull/5,Open,2,renovate,Bot,PR Body,
EllisCreekFarm/homelab,GO-2025-3751,https://github.com/EllisCreekFarm/homelab/pull/72,Open,0,robo-ross,Human,PR Body,
gucio1200/renovate_sandbox,GO-2025-3751,https://github.com/gucio1200/renovate_sandbox/pull/46,Open,0,dojob-bot-bot,Bot,PR Body,
jlengelbrecht/prox-ops-old,GO-2025-3751,https://github.com/jlengelbrecht/prox-ops-old/pull/40,Open,3,homebot-0,Bot,PR Body,
glasskube/cert-manager-webhook-exoscale,GO-2025-3751,https://github.com/glasskube/cert-manager-webhook-exoscale/pull/7,Open,2,renovate,Bot,PR Body,
Marck/k8s-chart-cert-manager-webhook-transip,GO-2025-3751,https://github.com/Marck/k8s-chart-cert-manager-webhook-transip/pull/5,Open,1,renovate,Bot,PR Body,
aneoconsulting/ArmoniK.Infra,GO-2025-3751,https://github.com/aneoconsulting/ArmoniK.Infra/pull/231,Open,0,renovate,Bot,PR Body,
Utwo/k8s-playground,GO-2025-3751,https://github.com/Utwo/k8s-playground/pull/16,Open,0,renovate,Bot,PR Body,
siggerzz/home-infra,GO-2025-3751,https://github.com/siggerzz/home-infra/pull/60,Open,3,renovate,Bot,PR Body,
mjpitz/mjpitz,GO-2025-3751,https://github.com/mjpitz/mjpitz/pull/162,Open,0,renovate,Bot,PR Body,
dc-tec/k8s-gitops,GO-2025-3751,https://github.com/dc-tec/k8s-gitops/pull/156,Open,0,dc-tec,Human,PR Body,
siliconsheep/homelab,GO-2025-3751,https://github.com/siliconsheep/homelab/pull/700,Open,0,renovate,Bot,PR Body,
ChipWolf/template-test,GO-2025-3751,https://github.com/ChipWolf/template-test/pull/11,Open,0,renovate,Bot,PR Body,
jsaveker/swarm-mind,GO-2025-3751,https://github.com/jsaveker/swarm-mind/pull/405,Open,1,renovate,Bot,PR Body,
ButlerMiles/k8s-homelab,GO-2025-3751,https://github.com/ButlerMiles/k8s-homelab/pull/63,Open,2,renovate,Bot,PR Body,
openedx/openedx-k8s-harmony,GO-2025-3751,https://github.com/openedx/openedx-k8s-harmony/pull/155,Open,0,renovate,Bot,PR Body,
DarrellTang/argocd-multi-cluster,GO-2025-3751,https://github.com/DarrellTang/argocd-multi-cluster/pull/31,Open,0,renovate,Bot,PR Body,
lenaxia/home-ops-prod,GO-2025-3751,https://github.com/lenaxia/home-ops-prod/pull/1525,Open,0,renovate,Bot,PR Body,
lenaxia/home-ops-dev,GO-2025-3751,https://github.com/lenaxia/home-ops-dev/pull/429,Open,0,renovate,Bot,PR Body,
platformnow/helm-charts,GO-2025-3751,https://github.com/platformnow/helm-charts/pull/68,Open,4,renovate,Bot,PR Body,
DO-Solutions/the-invincible-app,GO-2025-3751,https://github.com/DO-Solutions/the-invincible-app/pull/4,Open,0,renovate,Bot,PR Body,
VoliKoN/k3s-gitops,GO-2025-3751,https://github.com/VoliKoN/k3s-gitops/pull/1586,Open,6,gitops-updater,Human,PR Body,
